"modell","inverkehrssetzung","fahrzeugart","aussenfarbe","kilometer","getriebeart","antrieb","treibstoff","tueren","sitze","innenfarbe","hubrauminccm","zylinder","leistunginps","leergewicht","verbrauch","co2.emission","energieeffizienz","abmfk","garantie","preis"
"VW Caddy Life 1.6(Kombi)","05-2010","Occasion","schwarz","26'200 km","Handschaltung","Vorderradantrieb","Benzin",4,NA,"grau",1595,4,102,"1570 kg","8.3 l/100km","198 g/km","D",FALSE,"12 Monate","CHF 21'400.- "
"VW Passat 3.2 FSI High 4M.(Kombi)","09-2007","Occasion","silber","101'500 km","Automat","Allrad","Benzin",5,5,"schwarz",3168,6,250,"1790 kg","10 l/100km","240 g/km","G",FALSE,"12 Monate","CHF 24'900.- "
"VW Passat 2.0 TDI High(Kombi)","07-2008","Occasion","schwarz","113'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"schwarz",1968,4,170,"1613 kg","6.2 l/100km","167 g/km","C",FALSE,"0 Monate","CHF 22'800.- "
"VW Bora 2.8 Highline 4Motion(Kombi)","08-2002","Occasion","blau","166'000 km","Handschaltung","Allrad","Benzin",5,5,"beige",2792,6,204,"1627 kg","11 l/100km","266 g/km","G",TRUE,"0 Monate","CHF 7'900.- "
"VW Passat (Kombi)","08-2004","Occasion","schwarz","133'000 km","Automat","Allrad","Diesel",5,5,"beige",2496,6,180,"1901 kg","86 l/100km","80 g/km",NA,FALSE,"0 Monate","CHF 18'000.- "
"VW Golf 1.4 TSI Value(Kombi)","06-2009","Occasion","silber","78'000 km","Automat","Vorderradantrieb","Benzin",5,5,"anthrazit",1390,4,122,"1385 kg","6.3 l/100km","148 g/km","B",FALSE,"0 Monate","CHF 18'000.- "
"VW Passat 2.8 V6 4M. High(Kombi)","01-2005","Occasion","schwarz","105'644 km","Automat","Allrad","Benzin",5,5,"schwarz",2771,6,193,"1815 kg","11.3 l/100km","271 g/km","G",TRUE,"0 Monate","CHF 16'500.- "
"VW Passat 1.9 TDI 4M. High(Kombi)","12-2003","Occasion","schwarz","199'500 km","Handschaltung","Allrad","Diesel",5,5,"beige",1896,4,130,"1735 kg","6.5 l/100km","176 g/km","C",TRUE,"0 Monate","CHF 8'900.- "
"VW Passat 3.2 FSI High 4M.(Kombi)","03-2006","Occasion","schwarz","108'000 km","Automat","Allrad","Benzin",5,5,"grau",3168,6,250,"1790 kg","10 l/100km","240 g/km","G",FALSE,"8 Monate","CHF 21'900.- "
"VW Passat 2.0 TDI Sport(Kombi)","10-2006","Occasion","blau","86'000 km","Handschaltung","Vorderradantrieb","Diesel",5,5,"beige",1968,4,140,"1613 kg","6 l/100km","162 g/km","B",TRUE,"0 Monate","CHF 17'500.- "
